RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021
6,31,Arkansas,State,AR,122086,122613,123098,123619,124083,124500,124866,125170,125558,125937,126389,126887,127383,127808,128150,128516,128998,129510,129983,130452,130919,131405,131623,131862,132115,132554,133014,133490,133964,134505,135135,135870,136647,137506,138618,139767,141002,142225
23,32,Kansas,State,KS,142850,143476,144019,144540,145179,145827,146324,146742,147202,147693,148280,148806,149399,149906,150398,150855,151356,151984,152682,153301,153816,154212,154368,154649,155085,155746,156385,157069,157819,158564,159405,160415,161566,162903,164485,166119,167737,169388
55,33,Utah,State,UT,305845,308435,310973,313974,316715,319148,321653,323810,326209,328714,331321,333618,336106,338160,340028,341125,342253,343926,345536,347210,348644,349549,350707,351466,353883,355665,358201,360228,363338,366455,369959,373920,378476,383822,389388,395882,401529,408466
42,34,Nevada,State,NV,275607,278979,281096,283746,286583,290729,294547,298183,300167,301382,301671,303026,304327,305574,305521,305829,306893,308086,308090,306849,305489,305606,306630,307479,308639,309615,311709,313552,314811,315415,316992,319856,323647,326708,329567,332267,335184,338426
41,35,New Mexico,State,NM,185240,185965,187092,188176,189002,189622,189902,190431,191007,192324,193371,194654,195795,196700,197280,197822,198697,199962,201262,202436,203447,204045,204540,205265,206240,207386,208494,209728,211123,212430,214056,215855,217989,220390,223230,226057,228990,232164
61,36,West Virginia,State,WV,102213,102538,102839,103059,103185,103306,103398,103490,103650,103772,103990,104263,104660,105069,105451,105793,106112,106456,106826,107245,107592,107887,107730,107668,107714,107958,108124,108244,108532,108833,109166,109497,109898,110399,111258,112097,112874,113578
38,37,Nebraska,State,NE,162402,163269,163944,164758,165731,166782,167608,168336,169015,169647,170321,171130,172006,172656,173286,173992,174927,175838,176780,177608,178326,178838,179191,179584,180237,180967,181709,182297,182880,183557,184418,185514,186809,188382,190158,191958,193687,195635
20,38,Idaho,State,ID,236561,238986,241514,244124,247289,250890,254543,257388,259805,262168,264817,267257,269807,271860,274354,276323,278646,280560,282918,285504,288167,290428,291872,293345,294954,297429,299912,302806,305608,308918,312347,316557,321463,327383,334419,342294,350717,359546
18,39,Hawaii,State,HI,636426,639058,641450,643300,643889,644696,646253,649010,650501,651084,650961,651157,651789,652689,653845,653408,652762,652508,653960,655342,655767,655790,654830,654206,653883,654160,654590,656212,658465,660715,661758,662996,665647,669306,674269,679433,684721,689945
28,40,Maine,State,ME,222279,223942,225681,226523,227430,228514,229906,231084,231915,232478,232992,233682,233784,234009,234086,234998,236172,237864,239386,240450,241421,242452,243728,244832,246454,248235,250383,252441,254209,255653,257305,259742,262687,265980,269331,272995,276704,280437
39,41,New Hampshire,State,NH,271745,272564,273690,274966,276578,278168,279455,280989,282105,283081,283422,284067,284984,285768,286177,286617,288277,290238,291935,292424,292835,293294,294148,294955,296436,298335,300730,302772,304365,305927,308064,311294,315139,319365,323886,328724,333322,338281
50,42,Rhode Island,State,RI,283770,285468,287159,288069,288970,289849,291049,292481,293456,293918,293720,293718,293884,294170,294831,295471,296311,297362,299025,299746,300044,300252,301436,302422,303466,304888,306483,308416,310297,312304,314151,317064,320939,325388,329630,334345,339454,344836
35,43,Montana,State,MT,263866,264800,265939,267552,269439,271417,273226,274264,275308,276190,277408,278318,279654,281036,282401,283573,284498,285900,287039,288943,290314,291466,292250,293109,294661,295677,296910,297908,299558,301037,303081,305232,308071,311491,315337,319735,323852,328826
13,44,Delaware,State,DE,245475,246519,248328,250292,251690,252445,253148,253673,254129,254621,255545,256658,257995,258671,259308,259403,259004,258556,258264,258384,258384,258051,257713,257853,258268,259167,259820,261135,262953,265194,267436,269517,271856,274606,277469,280215,282953,285750
52,45,South Dakota,State,SD,197519,198094,198866,199648,200755,201833,202991,203950,204964,206011,206930,207791,208571,209137,209654,210131,210990,211821,212614,213235,213830,214372,214756,215355,216083,216865,217508,218201,218704,219300,219992,221053,222235,223583,225226,226882,228597,230530
3,46,Alaska,State,AK,282239,281645,281093,280489,280809,281221,282018,281990,282034,282922,284091,284757,284912,287568,290844,295344,296244,297075,296614,297515,297314,293307,289355,285780,286136,284894,283698,280924,279986,279161,279178,278691,278899,281413,283939,286748,287333,288234
37,47,North Dakota,State,ND,228939,228746,229068,229094,229256,228863,228680,228737,228769,228633,228393,228455,228845,229249,229351,229462,229676,230234,230853,231633,232420,232949,233030,233046,233124,233316,233516,233847,234170,234512,234776,234988,235304,236017,237196,238452,239600,240841
58,48,Vermont,State,VT,244858,245603,246001,246622,247207,247304,247757,248146,249222,249694,250057,250309,250855,251949,252942,253777,254266,255201,255996,257235,258493,259196,259373,259401,260115,260468,260891,261212,262229,263248,264425,265434,266316,268068,270584,273542,276150,279119
12,49,District of Columbia,State,DC,603750,607283,606312,607326,609193,614835,620013,622471,624587,626575,628759,630178,631312,630679,634124,636484,642146,644164,645345,645665,645489,645989,644698,645660,649129,652783,654578,655735,654844,655010,655687,658418,661564,664152,668106,670577,671644,672887
62,50,Wyoming,State,WY,230270,231177,231849,232579,233192,233893,234543,235107,235717,236249,236884,237466,238284,239140,240399,241684,243349,244817,246384,247715,249054,250224,250878,251691,252570,253485,253983,254251,254579,255047,255535,256268,257003,257947,259312,260643,261890,263166
