date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-11-03,AK,240,1.1166867037614452,1.1124501927530834,1.0315198695613117,1.195977588597224,469.8862248220971,359.3442365887899,392.7280982213706,383.0,4585.0,4585.0,383.0,0.0
2020-11-03,AL,245,1.079609722202718,1.080340400700015,0.9927825857389534,1.1638955264669308,1600.2338474671176,1525.6581178977062,1182.3278676411214,1037.0,7023.0,6629.0,1037.0,14.0
2020-11-03,AR,246,1.0475655840260496,1.0448793626542616,0.9471440302962404,1.1301243593691348,1231.5862737038867,1126.3881553156234,1613.6554917138185,878.0,5814.0,5456.0,878.0,18.0
2020-11-03,AZ,252,1.1438882988654968,1.1430845758144046,1.057219237465988,1.2213548701681811,2230.7021159903,1825.9946824634892,2296.480049126288,1679.0,10750.0,33230.0,1679.0,38.0
2020-11-03,CA,252,1.1691772562264118,1.1659607795602642,1.0820281945168149,1.250765335122221,8724.789803247031,6675.40206970925,4317.192037235702,4044.0,162420.0,162420.0,4044.0,14.0
2020-11-03,CO,252,1.0347356671767232,1.0355071961580378,0.9610350861315152,1.1084777809355573,2178.5979821951887,1905.081407457677,2376.161355295516,2562.0,10817.0,21509.0,2562.0,19.0
2020-11-03,CT,250,1.138565995512572,1.1362881403505478,1.0353114170573483,1.2336167201352328,1482.625643411254,1043.964807596028,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-03,DC,250,1.0817326641922056,1.082301881858912,0.9993542047321792,1.1548720017896217,90.30676669964144,70.11511642751836,54.77055625669432,86.0,5245.0,5245.0,86.0,0.0
2020-11-03,DE,247,1.1292812311022171,1.1266756060503509,1.0551922640600766,1.2121085128896247,259.66800503872315,200.28948560352052,228.8169323077469,115.0,997.0,4077.0,115.0,2.0
2020-11-03,FL,255,1.0170414481686871,1.015848221610946,0.9306703399032537,1.079047774255198,6278.64247789594,5597.0166229602255,6803.556275891216,4553.0,25420.0,55696.0,4553.0,56.0
2020-11-03,GA,251,1.046567355746739,1.0437648509603812,0.9706214949939762,1.1218442299933706,1744.3835501211545,1678.8632902727234,1589.6762109276126,1668.0,22130.0,22130.0,1668.0,480.0
