date,region,index,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests,new_tests,new_cases,new_deaths
2020-04-02,AK,25,0.7582658942046479,0.758612894761312,0.7030115680288432,0.8257433104469252,6.947248442419117,9.593610376846906,8.203197874075629,8.0,419.0,419.0,8.0,0.0
2020-04-02,AL,30,0.9778218035966948,0.9795410279518012,0.8966880265836231,1.056893438247027,628.8336696078445,427.11118749150336,552.4419715211029,156.0,962.0,962.0,156.0,6.0
2020-04-02,AR,31,1.1185595873166974,1.1161985405461237,1.0375175971898654,1.222004517652154,140.45563541251548,91.34512514957731,110.42517250673058,59.0,585.0,585.0,59.0,2.0
2020-04-02,AZ,37,1.0647108717022624,1.062428484466765,0.9780923054917862,1.1393325343778364,711.9930506743523,468.9985915124028,597.899931892051,185.0,1651.0,2383.0,185.0,3.0
2020-04-02,CA,37,1.0566446769914777,1.0550910898394357,0.9856275870514204,1.132837692425061,5258.4877755244925,3351.450524767591,3797.157102984079,1036.0,5173.0,3073.0,1036.0,32.0
2020-04-02,CO,37,1.0248883617377726,1.0267078285593765,0.9427739626549744,1.0871797788075748,1072.1748127115873,820.6269569024561,1023.278627958084,386.0,1766.0,1589.0,386.0,17.0
2020-04-02,CT,35,1.12091587083631,1.119349478933688,1.0326613386998174,1.2094645136146476,943.8678659102522,422.8852912219775,346.85982645442755,267.0,1700.0,1700.0,267.0,27.0
2020-04-02,DC,35,1.1101585624771508,1.1101759773547315,1.0239557008992548,1.1915123582544125,253.969630097538,134.65955475200644,121.36908532352716,67.0,1220.0,1222.0,67.0,1.0
2020-04-02,DE,32,1.234181649758578,1.2305369022914685,1.1387924047360267,1.3309243860611404,392.0619588923104,167.35768364424706,86.0999703769715,25.0,576.0,542.0,25.0,3.0
2020-04-02,FL,40,0.8261746063759299,0.8262553318311159,0.7621956035500992,0.8733920738273233,3531.2212427784148,2858.460460003929,3616.632314064479,1032.0,10839.0,8444.0,1032.0,41.0
2020-04-02,GA,36,0.9312511124323236,0.929795654081986,0.8514885236129711,0.987722453800048,3350.757987862642,2147.197018398476,2787.8210737763347,710.0,2631.0,2632.0,710.0,24.0
2020-04-02,HI,34,0.7003641916969385,0.6997756052570965,0.6406066358022472,0.7525441369399529,1.6067130181874853e-05,0.0003224479779459,73.89240755695222,50.0,1535.0,1338.0,50.0,0.0
2020-04-02,IA,34,1.3112802803704815,1.3107259817574666,1.22141075690688,1.3993711854556448,547.0518331053381,235.2178017685672,227.4993180685872,65.0,815.0,815.0,65.0,2.0
2020-04-02,ID,29,0.7920759607876611,0.7903121440702208,0.7292197965533722,0.8542153590206791,154.47689833707844,148.53815285176486,438.33919046552313,144.0,681.0,681.0,144.0,0.0
2020-04-02,IL,38,1.1109866353616915,1.107543004899366,1.0410847833714882,1.1778211832866594,5770.078038930496,3271.6017259947644,2538.4140421518514,715.0,3272.0,3272.0,715.0,16.0
2020-04-02,IN,35,0.9908407967164928,0.9906255458362574,0.9258939636165155,1.0453585844567266,1922.9101105620944,1204.2307713401822,1645.854768127684,474.0,1910.0,2698.0,474.0,13.0
2020-04-02,KS,35,1.2841067351793831,1.2812828519498969,1.1806573543329557,1.3755392338257997,182.6778461472485,91.14648783121734,276.8356050135848,70.0,718.0,718.0,70.0,3.0
2020-04-02,KY,36,1.1721858318829226,1.1665991673902851,1.0913997602526988,1.2674031652906823,140.95097493151482,71.09119457555944,113.46160514007109,89.0,344.0,344.0,89.0,3.0
2020-04-02,LA,34,0.7538037629823725,0.75378679142305,0.6900302127116715,0.8099319723779039,1629.1078632795388,1492.1032544948666,5885.748166585989,2726.0,5310.0,5310.0,2726.0,37.0
2020-04-02,MA,30,0.9077434974605808,0.9062937922600416,0.8381459484946411,0.9643856094235764,4475.668733659835,3034.3507266912825,3835.012992584221,1228.0,4870.0,6004.0,1228.0,42.0
2020-04-02,MD,37,1.0339392193749706,1.0301023968754677,0.9558324172565588,1.0969094304946627,2320.560432800942,1216.3416104823186,1569.7336444295786,346.0,2003.0,2536.0,346.0,12.0
2020-04-02,ME,31,0.9903141446982088,0.9911317940480898,0.9168587465831044,1.0655256419740873,38.71684077352753,38.58717353223136,69.52520184663912,32.0,32.0,32.0,32.0,0.0
2020-04-02,MI,41,0.8829936607106401,0.8804233529977457,0.8198812272411297,0.954443667971908,2265.3238367735503,2617.2141720361137,2777.749714086417,1130.0,4622.0,4622.0,1130.0,125.0
2020-04-02,MN,36,1.466349535843367,1.4667551752891268,1.3506545838778683,1.55779098263708,397.0709556583563,200.0874931586996,230.88808256634,83.0,1983.0,1983.0,83.0,1.0
2020-04-02,MO,35,0.9326213431137236,0.929577985605472,0.8605904201004789,0.9964835707836812,434.7053005771789,290.57090094503826,451.69740605435953,253.0,2256.0,2459.0,253.0,1.0
2020-04-02,MS,31,1.1298529091539813,1.1308180529299752,1.0297495234341656,1.2084358077347614,166.94718756042215,93.20593101765571,130.8988999692408,104.0,1145.0,1145.0,104.0,4.0
2020-04-02,MT,31,0.657044862982016,0.65419298871807,0.6043144213083809,0.7216136546391079,11.973019524088093,19.34092999523816,32.08240856406993,19.0,402.0,402.0,19.0,0.0
2020-04-02,NC,37,1.0720548161205588,1.0683541732945665,0.9984803663926268,1.146127373382121,565.3043562685176,350.9214842137718,522.9733298593055,273.0,2436.0,2436.0,273.0,6.0
2020-04-02,ND,31,1.0252871804273465,1.0223777841471229,0.9442416424871906,1.1052551001750834,61.98133548925932,42.670648341505306,58.619194790356616,20.0,490.0,649.0,20.0,0.0
